scenario_type,profile,target_cos,target_jac,len_ei,len_su,len_fo
trajectory_confusion_to_insight,cell_83_messages_base_multi_psycho,0.6687,0.8026,309,440,230
trajectory_confusion_to_insight,cell_83_messages_base_multi_psycho,0.7534,0.8611,295,408,207
trajectory_confusion_to_insight,cell_83_messages_base_multi_psycho,0.6079,0.7568,274,407,259
trajectory_confusion_to_insight,cell_83_messages_base_multi_psycho,0.6204,0.7667,231,460,260
trajectory_disengagement_to_ownership,cell_85_messages_recog_single_psycho,0.7089,0.8308,270,423,213
trajectory_disengagement_to_ownership,cell_85_messages_recog_single_psycho,0.7401,0.8519,388,598,264
trajectory_disengagement_to_ownership,cell_85_messages_recog_single_psycho,0.7592,0.8710,172,371,270
trajectory_disengagement_to_ownership,cell_85_messages_recog_single_psycho,0.7467,0.8553,326,479,292
trajectory_disengagement_to_ownership,cell_85_messages_recog_single_psycho,0.6061,0.7558,423,546,288
trajectory_disengagement_to_ownership,cell_85_messages_recog_single_psycho,0.7823,0.8841,202,337,353
trajectory_disengagement_to_ownership,cell_85_messages_recog_single_psycho,0.7450,0.8539,292,427,371
trajectory_disengagement_to_ownership,cell_85_messages_recog_single_psycho,0.6323,0.7750,309,426,318
trajectory_disengagement_to_ownership,cell_85_messages_recog_single_psycho,0.6748,0.8088,318,446,215
trajectory_disengagement_to_ownership,cell_85_messages_recog_single_psycho,0.7009,0.8261,286,420,203
trajectory_confusion_to_insight,cell_83_messages_base_multi_psycho,0.7278,0.8551,331,377,158
trajectory_confusion_to_insight,cell_83_messages_base_multi_psycho,0.7726,0.8784,348,434,173
trajectory_confusion_to_insight,cell_83_messages_base_multi_psycho,0.5668,0.7237,294,524,341
trajectory_confusion_to_insight,cell_83_messages_base_multi_psycho,0.7278,0.8507,341,420,174
