scenario_type,profile,target_cos,target_jac,len_ei,len_su,len_fo
trajectory_overconfidence_to_humility,cell_85_messages_recog_single_psycho,0.6499,0.7945,410,370,184
trajectory_overconfidence_to_humility,cell_85_messages_recog_single_psycho,0.7750,0.8767,293,367,212
trajectory_overconfidence_to_humility,cell_85_messages_recog_single_psycho,0.7123,0.8333,267,518,236
trajectory_overconfidence_to_humility,cell_85_messages_recog_single_psycho,0.6151,0.7692,340,516,214
trajectory_overconfidence_to_humility,cell_85_messages_recog_single_psycho,0.6756,0.8065,297,356,210
trajectory_overconfidence_to_humility,cell_85_messages_recog_single_psycho,0.6707,0.8036,210,457,213
trajectory_overconfidence_to_humility,cell_83_messages_base_multi_psycho,0.7775,0.8833,281,427,125
trajectory_overconfidence_to_humility,cell_83_messages_base_multi_psycho,0.7948,0.8857,267,463,267
trajectory_overconfidence_to_humility,cell_83_messages_base_multi_psycho,0.5686,0.7273,262,157,201
trajectory_overconfidence_to_humility,cell_83_messages_base_multi_psycho,0.5510,0.7105,322,522,296
trajectory_overconfidence_to_humility,cell_83_messages_base_multi_psycho,0.7640,0.8772,289,422,102
trajectory_overconfidence_to_humility,cell_83_messages_base_multi_psycho,0.6658,0.8534,2995,424,218
trajectory_overconfidence_to_humility,cell_83_messages_base_multi_psycho,0.5150,0.6812,309,402,256
trajectory_overconfidence_to_humility,cell_83_messages_base_multi_psycho,0.6687,0.8143,346,372,143
trajectory_overconfidence_to_humility,cell_87_messages_recog_multi_psycho,0.6973,0.8372,526,381,202
trajectory_overconfidence_to_humility,cell_87_messages_recog_multi_psycho,0.6302,0.7778,309,519,233
trajectory_overconfidence_to_humility,cell_87_messages_recog_multi_psycho,0.6047,0.7619,293,422,184
trajectory_overconfidence_to_humility,cell_87_messages_recog_multi_psycho,0.7123,0.8421,376,418,175
trajectory_overconfidence_to_humility,cell_87_messages_recog_multi_psycho,0.4991,0.6667,237,428,177
trajectory_overconfidence_to_humility,cell_87_messages_recog_multi_psycho,0.6670,0.8113,251,517,122
